gene	group	dataset_id	Choroid_plexus	Isocortex	Hippocampus	Cerebellum	Hypothalamus	Striatum	Olfact_bulb	Thalamus
Kl	aging	69201576	3.486	1.3207	2.9732	3.6052	1.0858	2.2554	2.3071	1.8292
Fgf21	aging	436	0.6612	0.1236	0.1101	0.154	0.0349	0.076	0.6423	0.0801
Igf1	aging	75197528	1.2163	0.3058	0.2493	0.197	0.1867	0.1133	1.0144	0.1486
Foxo3	aging	73949752	0.1378	0.0936	0.0673	0.1133	0.0177	0.0314	0.2293	0.0224
Sirt1	aging	69816858	0.2456	0.2031	0.1454	0.1491	0.0378	0.0329	0.1644	0.1012
Tert	aging	69290662	0.9104	1.3656	1.2444	1.1516	0.4434	0.6941	0.698	0.6821
Gdf11	aging	71529821	1.2991	0.2005	0.2547	1.1948	0.1686	0.0891	1.5676	1.5836
Gdf15	aging	76081203	0.264	0.2468	0.2259	0.1396	0.179	0.1092	0.3336	0.1576
Kdm6a	x_escape	68798567	5.8815	1.8667	2.0981	2.9297	1.3926	1.3313	4.543	1.7577
Kdm5c	x_escape	69289255	6.6858	6.9842	4.6537	5.3176	1.33	3.6331	6.846	2.014
Ddx3x	x_escape	339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif2s3x	x_escape	69671941	1.8692	2.1517	1.6695	1.2528	0.8124	1.0347	1.1609	1.2625
Usp9x	x_escape	70194678	4.5735	6.0026	5.181	3.2469	5.014	2.3257	3.0796	4.5009
